name,score,label
abc_00000020_ad34a3f60c4a4caa99646600_trimesh_000.obj,2.2348685888573527e-06,0
abc_00000027_ad34a3f60c4a4caa99646600_trimesh_007.obj,0.00040964456275105476,0
abc_00000032_ad34a3f60c4a4caa99646600_trimesh_012.obj,3.931424998881994e-06,0
abc_00000061_767e4372b5f94a88a7a17d90_trimesh_002.obj,1.2758752632180403e-07,0
abc_00000063_767e4372b5f94a88a7a17d90_trimesh_004.obj,8.662072445986269e-07,0
abc_00000066_767e4372b5f94a88a7a17d90_trimesh_007.obj,8.081758551270468e-07,0
abc_00000098_72cf0f9ca5324822a4d41a80_trimesh_000.obj,0.00013975462934467942,0
abc_00000129_e18c7feacfb54f3880659b43_trimesh_004.obj,8.326946954184677e-08,0
abc_00000130_e18c7feacfb54f3880659b43_trimesh_005.obj,8.326946954184677e-08,0
abc_00000134_1418f3c3ca954e799c8860af_trimesh_000.obj,1.1500878827064298e-05,0
abc_00000140_2fc54fcd110d4f49969163c4_trimesh_003.obj,5.978715194032702e-07,0
abc_00000154_a951550b8a1043a68423c541_trimesh_004.obj,0.011162487789988518,0
abc_00000161_a583c6c3cdc143bab3f6c856_trimesh_000.obj,0.0005271806148812175,0
abc_00000168_bfdc19149a8b4e72b3d0f5c5_trimesh_000.obj,9.333794878330082e-06,0
abc_00000172_b21aa794b6b64d87a57c245e_trimesh_002.obj,6.589672466361662e-06,0
abc_00000243_4829bc0645d6414d9b5cec31_trimesh_006.obj,0.001103369751945138,0
abc_00000259_845fb06d7f2f4802a806a600_trimesh_004.obj,7.868718967074528e-06,0
abc_00000267_845fb06d7f2f4802a806a600_trimesh_012.obj,5.324546918927808e-07,0
abc_00000269_845fb06d7f2f4802a806a600_trimesh_014.obj,7.80568370828405e-06,0
abc_00000280_5a6ef3285b89452ea6b390e7_trimesh_001.obj,6.502102678496158e-06,0
abc_00000291_58f8ff46b7564e989f9695b7_trimesh_004.obj,0.00041347387013956904,0
abc_00000295_52a153d2417747b5926ff9df_trimesh_000.obj,2.7692312869476154e-06,0
abc_00000296_52a153d2417747b5926ff9df_trimesh_001.obj,1.5157419852585008e-07,0
abc_00000318_3062bccff48e47a2b9de05e3_trimesh_013.obj,3.0621733912994387e-06,0
abc_00000329_12a935cd9b684f879c0505fe_trimesh_000.obj,3.942197110973211e-07,0
abc_00000336_1a821c3883f7459a9615fca4_trimesh_000.obj,1.0859100257221144e-05,0
abc_00000342_fe70be720f7e49fa90ded969_trimesh_001.obj,3.184769411745947e-06,0
abc_00000352_4185972a944744d8a7a0f2b4_trimesh_008.obj,8.510963311891828e-08,0
abc_00000355_68d1a5c2319a4a419ff625c6_trimesh_001.obj,1.1755287410153414e-08,0
abc_00000357_68d1a5c2319a4a419ff625c6_trimesh_003.obj,1.1104026143016199e-08,0
abc_00000361_9ee540a56d79451e8026e1e6_trimesh_003.obj,9.153281439466809e-07,0
abc_00000362_9ee540a56d79451e8026e1e6_trimesh_004.obj,1.8093417111231247e-06,0
abc_00000369_23c957e8e7b2428282a13ae2_trimesh_002.obj,1.0516530437598703e-06,0
abc_00000377_23c957e8e7b2428282a13ae2_trimesh_010.obj,3.962512806765517e-08,0
abc_00000378_23c957e8e7b2428282a13ae2_trimesh_011.obj,1.1158743973282981e-07,0
